candidate_name,end_date,daily_average,model,drift_pred
Donald Trump,2024-07-21,48.71428571428572,46.9,
Donald Trump,2024-07-22,46.9,45.18513714285712,
Donald Trump,2024-07-23,46.0,43.49167734171425,
Donald Trump,2024-07-24,43.56666666666666,41.867079107959725,
Donald Trump,2024-07-25,47.5,40.235285366090906,
Donald Trump,2024-07-26,46.5,38.93361448381202,
Donald Trump,2024-07-27,46.0,37.75599294246388,
Donald Trump,2024-07-28,44.5,36.7274875672212,
Donald Trump,2024-07-29,46.0,35.79515559099336,
Donald Trump,2024-07-30,46.0,35.11114859106794,
Donald Trump,2024-07-31,46.333333333333336,34.61565687199172,
Donald Trump,2024-08-01,46.0,34.32673976663973,
Donald Trump,2024-08-02,47.333333333333336,34.208810263622226,
Donald Trump,2024-08-03,46.0,34.34317421549048,
Donald Trump,2024-08-04,45.0,34.59135129756141,
Donald Trump,2024-08-05,44.7,34.94364929714558,
Donald Trump,2024-08-06,45.0,35.414249367148635,
Donald Trump,2024-08-07,47.53333333333333,36.01989454371776,
Donald Trump,2024-08-08,45.175,36.87304614064377,
Donald Trump,2024-08-09,45.0,37.72060725747789,
Donald Trump,2024-08-10,45.0,38.635000942227954,
Donald Trump,2024-08-11,46.0,39.607020865643044,
Donald Trump,2024-08-12,45.66666666666666,40.67477608331002,
Donald Trump,2024-08-13,45.0,41.76036773957066,
Donald Trump,2024-08-14,46.85384615384616,42.823815620368556,
Donald Trump,2024-08-15,45.266666666666666,43.97852388398385,
Donald Trump,2024-08-16,46.66666666666666,45.04262115075106,
Donald Trump,2024-08-17,45.0,46.14419040048314,
Donald Trump,2024-08-18,45.0,47.118096195632106,
Donald Trump,2024-08-19,45.8,48.02169793527976,
Donald Trump,2024-08-20,46.0,48.88827447589937,
Donald Trump,2024-08-21,45.125,49.68544149265089,
Donald Trump,2024-08-22,46.16,50.348227294641106,
Donald Trump,2024-08-23,46.142857142857146,50.963915900591026,
Donald Trump,2024-08-24,45.0,51.48293957840278,
Donald Trump,2024-08-25,47.4,51.839540517627405,
Donald Trump,2024-08-26,46.583333333333336,52.21217221962216,
Donald Trump,2024-08-27,46.833333333333336,52.4539251713534,
Donald Trump,2024-08-28,47.715384615384615,52.612823245812685,
Donald Trump,2024-08-29,46.142857142857146,52.72816535684532,
Donald Trump,2024-08-30,46.0,52.67853012296852,
Donald Trump,2024-08-31,47.86,52.526323766912576,
Donald Trump,2024-09-01,45.5,52.38554407334856,
Donald Trump,2024-09-02,45.0,52.05408951524155,
Donald Trump,2024-09-03,46.0,51.611492614633235,
Donald Trump,2024-09-04,46.8,51.14354949935269,
Donald Trump,2024-09-05,46.325,50.66203957609294,
Donald Trump,2024-09-06,48.16666666666666,50.116601864037406,
Donald Trump,2024-09-07,46.0,49.63778928620968,
Donald Trump,2024-09-08,47.22545454545455,49.03762326339249,
Donald Trump,2024-09-09,46.1,48.48366196628068,
Donald Trump,2024-09-10,46.0,47.87156274213421,
Donald Trump,2024-09-11,46.25,47.25224835837002,
Donald Trump,2024-09-12,47.62,46.652873274252514,
Donald Trump,2024-09-13,46.15,46.14658666904078,
Donald Trump,2024-09-14,45.9,45.60180204533571,
Donald Trump,2024-09-15,47.23333333333333,45.07322213630786,
Donald Trump,2024-09-16,46.47777777777778,44.65108840269044,
Donald Trump,2024-09-17,47.57142857142857,44.242652798946786,
Donald Trump,2024-09-18,47.433181818181815,43.94356653253164,
Donald Trump,2024-09-19,45.833333333333336,43.70256015287086,
Donald Trump,2024-09-20,47.85714285714285,43.43873553207341,
Donald Trump,2024-09-21,47.85714285714285,43.33180870547126,
Donald Trump,2024-09-22,46.0,43.296133897377935,
Donald Trump,2024-09-23,47.0,43.22761758564145,
Donald Trump,2024-09-24,48.4625,43.25767318610692,
Donald Trump,2024-09-25,47.72941176470588,43.42205799939939,
Donald Trump,2024-09-26,46.55,43.614292726474936,
Donald Trump,2024-09-27,47.0,43.79511006152739,
Donald Trump,2024-09-28,48.85,44.03412707426714,
Donald Trump,2024-09-29,47.771428571428565,44.40885832579815,
Donald Trump,2024-09-30,48.285714285714285,44.77522350976039,
Donald Trump,2024-10-01,47.371428571428574,45.19946077841968,
Donald Trump,2024-10-02,47.5,45.6023022510977,
Donald Trump,2024-10-03,46.75,46.0222588486952,
Donald Trump,2024-10-04,45.7,46.406187751428114,
Donald Trump,2024-10-05,45.0,46.72230791933059,
Donald Trump,2024-10-06,45.25,46.972293123310855,
Donald Trump,2024-10-07,47.66666666666666,47.196788980906916,
Donald Trump,2024-10-08,48.78333333333333,47.51592586061504,
Donald Trump,2024-10-09,47.48333333333333,47.885721562397734,
Donald Trump,2024-10-10,47.4,48.18277009031897,
Donald Trump,2024-10-11,47.75,48.4530183464533,
Donald Trump,2024-10-12,46.0,48.71605200081474,
Donald Trump,2024-10-13,46.6,48.85836673938967,
Donald Trump,2024-10-14,48.06666666666667,48.98556506067864,
Donald Trump,2024-10-15,47.47368421052632,49.15274241955133,
Donald Trump,2024-10-16,48.41111111111111,49.26466332432994,
Donald Trump,2024-10-17,49.05625,49.39697189618515,
Donald Trump,2024-10-18,46.525,49.544750996658166,
Donald Trump,2024-10-19,47.5,49.54067661836172,
Donald Trump,2024-10-20,48.27222222222222,49.545563201245386,
Donald Trump,2024-10-21,46.4,49.562297763213046,
Donald Trump,2024-10-22,49.07272727272727,49.45667204691756,
